"GEO_ID","NAME","B07003_001E","B07003_001M","B07003_002E","B07003_002M","B07003_003E","B07003_003M","B07003_004E","B07003_004M","B07003_005E","B07003_005M","B07003_006E","B07003_006M","B07003_007E","B07003_007M","B07003_008E","B07003_008M","B07003_009E","B07003_009M","B07003_010E","B07003_010M","B07003_011E","B07003_011M","B07003_012E","B07003_012M","B07003_013E","B07003_013M","B07003_014E","B07003_014M","B07003_015E","B07003_015M","B07003_016E","B07003_016M","B07003_017E","B07003_017M","B07003_018E","B07003_018M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male","Margin of Error!!Total:!!Male","Estimate!!Total:!!Female","Margin of Error!!Total:!!Female","Estimate!!Total:!!Same house 1 year ago:","Margin of Error!!Total:!!Same house 1 year ago:","Estimate!!Total:!!Same house 1 year ago:!!Male","Margin of Error!!Total:!!Same house 1 year ago:!!Male","Estimate!!Total:!!Same house 1 year ago:!!Female","Margin of Error!!Total:!!Same house 1 year ago:!!Female","Estimate!!Total:!!Moved within same county:","Margin of Error!!Total:!!Moved within same county:","Estimate!!Total:!!Moved within same county:!!Male","Margin of Error!!Total:!!Moved within same county:!!Male","Estimate!!Total:!!Moved within same county:!!Female","Margin of Error!!Total:!!Moved within same county:!!Female","Estimate!!Total:!!Moved from different county within same state:","Margin of Error!!Total:!!Moved from different county within same state:","Estimate!!Total:!!Moved from different county within same state:!!Male","Margin of Error!!Total:!!Moved from different county within same state:!!Male","Estimate!!Total:!!Moved from different county within same state:!!Female","Margin of Error!!Total:!!Moved from different county within same state:!!Female","Estimate!!Total:!!Moved from different state:","Margin of Error!!Total:!!Moved from different state:","Estimate!!Total:!!Moved from different state:!!Male","Margin of Error!!Total:!!Moved from different state:!!Male","Estimate!!Total:!!Moved from different state:!!Female","Margin of Error!!Total:!!Moved from different state:!!Female","Estimate!!Total:!!Moved from abroad:","Margin of Error!!Total:!!Moved from abroad:","Estimate!!Total:!!Moved from abroad:!!Male","Margin of Error!!Total:!!Moved from abroad:!!Male","Estimate!!Total:!!Moved from abroad:!!Female","Margin of Error!!Total:!!Moved from abroad:!!Female",
"0400000US41","Oregon","4135390","1600","2050119","1308","2085271","1443","3449110","8842","1704646","4883","1744464","5280","374625","7374","185422","4287","189203","3999","149653","4378","77891","2606","71762","2406","139288","4887","70335","2806","68953","2775","22714","1691","11825","1047","10889","1013",
"0400000US53","Washington","7428623","2092","3716619","1747","3712004","1657","6168820","13683","3071917","8009","3096903","7269","725669","11829","367943","6819","357726","6478","231053","5618","120312","3365","110741","3140","244683","4748","127402","2855","117281","3031","58398","3221","29045","2035","29353","1738",
