"Label (Grouping)","Oregon!!Occupied housing units!!Estimate","Oregon!!Occupied housing units!!Margin of Error","Oregon!!Percent occupied housing units!!Estimate","Oregon!!Percent occupied housing units!!Margin of Error","Oregon!!Owner-occupied housing units!!Estimate","Oregon!!Owner-occupied housing units!!Margin of Error","Oregon!!Percent owner-occupied housing units!!Estimate","Oregon!!Percent owner-occupied housing units!!Margin of Error","Oregon!!Renter-occupied housing units!!Estimate","Oregon!!Renter-occupied housing units!!Margin of Error","Oregon!!Percent renter-occupied housing units!!Estimate","Oregon!!Percent renter-occupied housing units!!Margin of Error","Washington!!Occupied housing units!!Estimate","Washington!!Occupied housing units!!Margin of Error","Washington!!Percent occupied housing units!!Estimate","Washington!!Percent occupied housing units!!Margin of Error","Washington!!Owner-occupied housing units!!Estimate","Washington!!Owner-occupied housing units!!Margin of Error","Washington!!Percent owner-occupied housing units!!Estimate","Washington!!Percent owner-occupied housing units!!Margin of Error","Washington!!Renter-occupied housing units!!Estimate","Washington!!Renter-occupied housing units!!Margin of Error","Washington!!Percent renter-occupied housing units!!Estimate","Washington!!Percent renter-occupied housing units!!Margin of Error"
"    BEDROOMS","","","","","","","","","","","","","","","","","","","","","","","",""
"        No bedroom","51,336","±1,967","3.1%","±0.1","5,832","±671","0.6%","±0.1","45,504","±1,866","7.4%","±0.3","101,107","±2,522","3.5%","±0.1","9,772","±815","0.5%","±0.1","91,335","±2,484","8.6%","±0.2"
"        1 bedroom","160,861","±3,179","9.8%","±0.2","25,868","±1,192","2.5%","±0.1","134,993","±2,848","22.1%","±0.5","323,254","±3,706","11.1%","±0.1","51,680","±1,724","2.8%","±0.1","271,574","±3,384","25.4%","±0.3"
"        2 or 3 bedrooms","1,118,756","±4,809","68.1%","±0.3","724,496","±5,761","70.3%","±0.3","394,260","±4,782","64.5%","±0.5","1,796,273","±6,964","61.8%","±0.2","1,175,429","±8,297","63.9%","±0.2","620,844","±5,619","58.1%","±0.4"
"        4 or more bedrooms","311,626","±4,023","19.0%","±0.2","274,810","±3,909","26.7%","±0.3","36,816","±1,503","6.0%","±0.2","685,188","±4,247","23.6%","±0.1","601,178","±4,230","32.7%","±0.2","84,010","±2,209","7.9%","±0.2"
"    COMPLETE FACILITIES","","","","","","","","","","","","","","","","","","","","","","","",""
"        With complete plumbing facilities","1,634,502","±3,617","99.5%","±0.1","1,027,370","±6,707","99.6%","±0.1","607,132","±5,386","99.3%","±0.1","2,895,472","±5,546","99.6%","±0.1","1,833,610","±9,098","99.8%","±0.1","1,061,862","±6,777","99.4%","±0.1"
"        With complete kitchen facilities","1,619,287","±3,657","98.6%","±0.1","1,026,679","±6,709","99.6%","±0.1","592,608","±5,462","96.9%","±0.2","2,874,961","±5,617","98.9%","±0.1","1,832,461","±9,066","99.7%","±0.1","1,042,500","±6,445","97.6%","±0.1"
"    VEHICLES AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","",""
"        No vehicle available","118,748","±2,612","7.2%","±0.2","24,017","±1,207","2.3%","±0.1","94,731","±2,460","15.5%","±0.4","200,697","±3,064","6.9%","±0.1","38,912","±1,476","2.1%","±0.1","161,785","±3,013","15.2%","±0.3"
"        1 vehicle available","505,008","±4,869","30.7%","±0.3","241,514","±3,772","23.4%","±0.3","263,494","±4,102","43.1%","±0.6","847,838","±5,338","29.2%","±0.2","394,399","±4,422","21.5%","±0.2","453,439","±5,188","42.5%","±0.4"
"        2 vehicles available","620,855","±5,512","37.8%","±0.3","440,456","±4,629","42.7%","±0.4","180,399","±3,538","29.5%","±0.5","1,084,749","±6,623","37.3%","±0.2","766,956","±5,929","41.7%","±0.2","317,793","±4,475","29.8%","±0.3"
"        3 or more vehicles available","397,968","±3,953","24.2%","±0.2","325,019","±3,879","31.5%","±0.3","72,949","±2,295","11.9%","±0.3","772,538","±5,061","26.6%","±0.2","637,792","±5,312","34.7%","±0.3","134,746","±3,072","12.6%","±0.3"
"    TELEPHONE SERVICE AVAILABLE","","","","","","","","","","","","","","","","","","","","","","","",""
"        With telephone service","1,618,319","±3,386","98.5%","±0.1","1,022,365","±6,623","99.2%","±0.1","595,954","±5,431","97.4%","±0.1","2,864,040","±5,630","98.6%","±0.1","1,822,307","±8,965","99.1%","±0.1","1,041,733","±6,659","97.6%","±0.1"
"    HOUSE HEATING FUEL","","","","","","","","","","","","","","","","","","","","","","","",""
"        Utility gas","618,227","±5,744","37.6%","±0.3","493,253","±5,812","47.8%","±0.4","124,974","±2,380","20.4%","±0.4","995,154","±6,576","34.2%","±0.2","812,731","±6,337","44.2%","±0.3","182,423","±3,149","17.1%","±0.3"
"        Bottled, tank, or LP gas","29,778","±1,387","1.8%","±0.1","21,519","±1,238","2.1%","±0.1","8,259","±747","1.4%","±0.1","90,272","±2,095","3.1%","±0.1","75,249","±1,894","4.1%","±0.1","15,023","±915","1.4%","±0.1"
"        Electricity","846,842","±5,082","51.6%","±0.3","401,620","±3,713","39.0%","±0.3","445,222","±5,011","72.8%","±0.4","1,632,107","±6,286","56.2%","±0.2","806,882","±6,344","43.9%","±0.3","825,225","±6,465","77.3%","±0.3"
"        Fuel oil, kerosene, etc.","27,951","±1,033","1.7%","±0.1","22,007","±862","2.1%","±0.1","5,944","±570","1.0%","±0.1","48,123","±1,728","1.7%","±0.1","38,751","±1,497","2.1%","±0.1","9,372","±880","0.9%","±0.1"
"        Coal or coke","168","±82","0.0%","±0.1","94","±62","0.0%","±0.1","74","±55","0.0%","±0.1","570","±175","0.0%","±0.1","389","±166","0.0%","±0.1","181","±71","0.0%","±0.1"
"        All other fuels","112,336","±2,237","6.8%","±0.1","90,016","±2,091","8.7%","±0.2","22,320","±1,182","3.6%","±0.2","125,800","±2,068","4.3%","±0.1","100,267","±1,922","5.5%","±0.1","25,533","±1,267","2.4%","±0.1"
"        No fuel used","7,277","±664","0.4%","±0.1","2,497","±323","0.2%","±0.1","4,780","±552","0.8%","±0.1","13,796","±933","0.5%","±0.1","3,790","±409","0.2%","±0.1","10,006","±849","0.9%","±0.1"
