OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,FC_FC_CODE,FC_CODE_DESC,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,speed
31248,"0920002",0,0.32,"7",Local,"092",NEW HAVEN,"2024",{3AD17848-7473-48D1-9F50-E810526B5773},25
31249,"0920008",0,0.1,"7",Local,"092",NEW HAVEN,"2024",{C00C8BDE-9F43-4E37-AED5-B87944C391B9},25
31250,"0920018",0,0.28,"7",Local,"092",NEW HAVEN,"2024",{DC1260E0-D354-45AC-9C18-664E577CFBC6},25
31251,"0920037",0,0.12,"7",Local,"092",NEW HAVEN,"2024",{B55D8B40-B6A8-4380-802F-168B26006DAC},25
31252,"0920039",0,0.22,"7",Local,"092",NEW HAVEN,"2024",{E4A4CFFE-2C14-44A2-818D-65A06470FDB7},25
31253,"0920050",0,0.25,"7",Local,"092",NEW HAVEN,"2024",{B5655488-3736-4944-97F9-AF26D3FBCB46},25
31254,"0920052",0,0.13,"7",Local,"092",NEW HAVEN,"2024",{CAE867FE-C4E6-4922-A6E8-B9C90E112AEA},25
31255,"0920058",0,0.1,"7",Local,"092",NEW HAVEN,"2024",{C03E1CA4-1EF7-4FC4-ADA0-B460FC5F28AA},25
31256,"0920062",0,0.06,"7",Local,"092",NEW HAVEN,"2024",{36423185-58CE-4370-B4C2-5F1A1C6AC4A9},25
31257,"0920070",0,0.22,"7",Local,"092",NEW HAVEN,"2024",{DF9933C2-C4DA-4178-9E9A-233EF3F0DFF3},25
31258,"0920074",0.84,0.85,"7",Local,"092",NEW HAVEN,"2024",{84E7C942-18A9-4CEA-859A-CD2FE012F167},25
31259,"0920085",0,0.26,"7",Local,"092",NEW HAVEN,"2024",{CEBDC233-6F9F-46C8-B93F-41A303A88791},25
31260,"0920090",0,0.45,"7",Local,"092",NEW HAVEN,"2024",{8CDDE321-D06D-4B98-8B87-D5C3ABFE757E},25
31261,"0920095",0,0.2,"7",Local,"092",NEW HAVEN,"2024",{6229CB1E-0DCC-4B99-BF16-AE3AA154ABE5},25
31262,"0920098",0,0.15,"7",Local,"092",NEW HAVEN,"2024",{6AD3EC30-E3E6-4B6F-8E6B-3EB273BD9CE5},25
31263,"0920103",0,0.66,"3",Other Principal Arterial,"092",NEW HAVEN,"2024",{9E3A6F59-BB6D-4091-85EE-F43DECF900C0},35
31264,"0920114",0,0.11,"7",Local,"092",NEW HAVEN,"2024",{A4099422-A959-4828-8A9F-44C27EA3E0BB},25
31265,"0920115",0,0.07,"7",Local,"092",NEW HAVEN,"2024",{7D52F5DA-D557-4ABF-9806-667317DD9ED3},25
31266,"0920123",0.85,0.99,"3",Other Principal Arterial,"092",NEW HAVEN,"2024",{1D3FF50F-E6CC-494C-A70B-394F446D872F},35
31267,"0920124",0,0.33,"7",Local,"092",NEW HAVEN,"2024",{8EC5524F-C2D5-41A4-9594-4CA5633EB7DB},25
31268,"0920138",0,0.18,"7",Local,"092",NEW HAVEN,"2024",{65F29006-396E-47E3-9E08-09E6D854BBD3},25
